"Ranking","IdProducto","VentasSemestrales","fecha","IdBodega","Salidas"
"127","246","102980,0000","2025-06-23","10","7000,0000"
"1125","248","4695,0000","2025-06-23","10","350,0000"
"1194","474","4255,0000","2025-06-23","10","27,0000"
"627","478","10163,5600","2025-06-23","11","286,9900"
"216","522","41826,1400","2025-06-23","11","735,4600"
"141","570","81613,0000","2025-06-23","10","1540,0000"
"687","609","9028,0000","2025-06-23","10","315,0000"
"480","610","14138,0000","2025-06-23","10","199,0000"
"120","634","118883,6900","2025-06-23","11","1229,2500"
"78","728","208919,4700","2025-06-23","11","1568,1200"
"82","755","198295,6500","2025-06-23","11","1870,5900"
"1294","949","3765,3000","2025-06-23","11","68,0000"
"1525","950","2919,8200","2025-06-23","11","17,0000"
"618","952","10307,2700","2025-06-23","11","68,0000"
"397","1024","18284,2600","2025-06-23","11","34,2900"
"158","1127","69247,7600","2025-06-23","11","713,4700"
"116","1645","124026,7500","2025-06-23","9","151,1400"
"174","1647","58531,6800","2025-06-23","9","1323,7400"
"138","1648","88170,2700","2025-06-23","9","155,9600"
"83","1649","197685,8800","2025-06-23","9","194,8700"
"87","1650","174537,1600","2025-06-23","9","125,8700"
"75","1663","215639,3200","2025-06-23","9","275,8100"
"211","1665","43698,9700","2025-06-23","9","950,9200"
"344","1683","22308,5700","2025-06-23","9","142,2300"
"210","1688","43855,2400","2025-06-23","9","2,0600"
"1181","1720","4329,3600","2025-06-23","9","21,3500"
"843","1721","6797,3700","2025-06-23","9","11,4400"
"684","1722","9103,1600","2025-06-23","9","29,7900"
"117","1780","120432,0000","2025-06-23","10","1877,0000"
"1105","1827","4813,0000","2025-06-23","10","270,0000"
"436","1855","16135,0000","2025-06-23","10","450,0000"
"1241","1868","4019,0000","2025-06-23","10","56,0000"
"1205","1901","4170,0000","2025-06-23","10","120,0000"
"601","1902","10866,0000","2025-06-23","10","143,0000"
"160","1909","68970,1100","2025-06-23","9","1342,1200"
"269","1919","30657,9300","2025-06-23","9","8311,7900"
"309","1932","25047,5000","2025-06-23","9","2721,7600"
"789","1998","7505,9900","2025-06-23","9","548,5200"
"419","2007","16868,4900","2025-06-23","9","1028,9900"
"1200","2023","4203,1600","2025-06-23","9","245,0000"
"1563","2359","2788,4800","2025-06-23","9","2017,2000"
"171","2372","61035,8300","2025-06-23","9","1351,9300"
"547","2399","12200,7200","2025-06-23","9","590,0000"
"312","2451","24847,5700","2025-06-23","9","540,0900"
"472","2543","14243,8900","2025-06-23","9","1404,2600"
"248","2675","34819,4300","2025-06-23","9","688,3500"
"1357","3026","3513,9000","2025-06-23","9","304,2400"
"721","3076","8477,8900","2025-06-23","9","682,2600"
"1366","3255","3475,8400","2025-06-23","11","11,9000"
"654","3296","9585,9500","2025-06-23","11","104,9700"
"349","3297","21817,0000","2025-06-23","11","65,7000"
"521","3298","13037,9200","2025-06-23","11","69,2300"
"576","3299","11636,6300","2025-06-23","11","115,4000"
"1317","3304","3679,8300","2025-06-23","11","2,4300"
"762","3305","7935,5900","2025-06-23","11","2,1800"
"920","3308","6219,3100","2025-06-23","11","1,0900"
"781","3533","7673,2500","2025-06-23","9","4626,9000"
"1609","4134","2682,9500","2025-06-23","11","4,8000"
"1132","4328","4630,7000","2025-06-23","9","1479,8000"
"1843","4518","2176,7000","2025-06-23","11","17,0000"
"1971","4519","1902,3000","2025-06-23","11","17,0000"
"1182","4545","4328,4200","2025-06-23","9","900,5700"
"1833","4837","2203,5500","2025-06-23","9","348,3100"
"361","4993","20597,8400","2025-06-23","11","5,9300"
"524","4994","12985,0000","2025-06-23","11","21,7300"
"432","4995","16276,6600","2025-06-23","11","13,8100"
"308","4996","25149,5500","2025-06-23","11","50,3700"
"168","5017","62087,7600","2025-06-23","9","1160,3600"
"55","5018","304852,1600","2025-06-23","9","1604,7700"
"608","5053","10518,3000","2025-06-23","9","2855,8400"
"675","5312","9315,7800","2025-06-23","9","2317,3500"
"24","5454","598292,0000","2025-06-23","10","9400,0000"
"63","5455","286083,0000","2025-06-23","10","2000,0000"
"142","5456","81592,0000","2025-06-23","10","550,0000"
"1014","6233","5331,0000","2025-06-23","10","3386,0000"
"417","6234","16967,0000","2025-06-23","10","6000,0000"
"123","6237","108395,0000","2025-06-23","10","3554,0000"
"226","6240","39660,0000","2025-06-23","10","600,0000"
"319","6763","24115,1500","2025-06-23","17","91,9000"
"288","6765","26877,8000","2025-06-23","17","102,3000"
"231","6767","38128,3100","2025-06-23","17","190,5100"
"385","6769","18993,0000","2025-06-23","16","115,0000"
"1281","6773","3841,0000","2025-06-23","16","4,0000"
"104","6775","148950,0000","2025-06-23","16","165,0000"
"184","6778","52700,0000","2025-06-23","16","100,0000"
"255","6834","32905,0000","2025-06-23","16","60,0000"
"264","6860","32278,8300","2025-06-23","17","314,2600"
"181","6918","53917,5100","2025-06-23","15","3884,4900"
"817","7454","7105,0000","2025-06-23","53","208,0000"
"1783","7714","2320,6274","2025-06-23","53","111,1130"
"836","7730","6853,5572","2025-06-23","53","27,7530"
"749","7931","8129,3899","2025-06-23","53","63,6640"
"609","7935","10515,0835","2025-06-23","53","62,3870"
"1791","8113","2305,5607","2025-06-23","53","110,5410"
"1612","7468","2681,8632","2025-06-23","54","48,5709"
"1473","7870","3088,1252","2025-06-23","54","72,9680"
"532","7970","12651,8124","2025-06-23","54","8,1150"
"274","7978","29109,7704","2025-06-23","54","328,8229"
"1089","8127","4888,3986","2025-06-23","56","56,9500"
"676","7898","9314,0070","2025-06-23","57","36,3900"
"1194","474","4255,0000","2025-06-24","10","14,0000"
"627","478","10163,5600","2025-06-24","11","249,5700"
"216","522","41826,1400","2025-06-24","11","333,9800"
"141","570","81613,0000","2025-06-24","10","1095,0000"
"687","609","9028,0000","2025-06-24","10","250,0000"
"480","610","14138,0000","2025-06-24","10","101,0000"
"120","634","118883,6900","2025-06-24","11","983,5800"
"1529","679","2901,7000","2025-06-24","11","51,0000"
"567","721","11747,0000","2025-06-24","11","190,0000"
